날짜,스트레스,짜증
2024-07-14,66.5148,15.48974
2024-07-15,95.2164,13.89521
2024-07-16,94.07744,15.48974
2024-07-17,94.07744,12.75626
2024-07-18,91.79954,13.43963
2024-07-19,73.12072,17.53986
2024-07-20,57.40318,9.79498
2024-07-21,60.13667,13.43963
2024-07-22,78.58769,11.8451
2024-07-23,76.082,13.21184
2024-07-24,75.17084,16.40091
2024-07-25,73.5763,10.93394
2024-07-26,66.74259,11.61731
2024-07-27,57.40318,11.8451
2024-07-28,60.59225,11.8451
2024-07-29,63.09794,11.8451
2024-07-30,71.75398,11.16173
2024-07-31,59.90888,16.40091
2024-08-01,68.33712,13.21184
2024-08-02,56.9476,15.94533
2024-08-03,50.56947,12.30068
2024-08-04,59.68109,10.02277
2024-08-05,71.07061,11.8451
2024-08-06,69.93166,10.70615
2024-08-07,64.69248,13.89521
2024-08-08,63.78132,10.25056
2024-08-09,75.85421,13.66742
2024-08-10,61.7312,13.43963
2024-08-11,58.54214,14.80637
2024-08-12,70.84282,15.26195
2024-08-13,75.17084,17.08428
2024-08-14,82.68792,14.35079
2024-08-15,70.61503,13.66742
2024-08-16,66.5148,14.57858
2024-08-17,59.4533,13.66742
2024-08-18,61.04783,10.70615
2024-08-19,79.72665,12.52847
2024-08-20,90.4328,16.17312
2024-08-21,82.00455,12.30068
2024-08-22,92.48291,12.52847
2024-08-23,88.83826,11.38952
2024-08-24,65.14806,9.79498
2024-08-25,57.63097,13.66742
2024-08-26,90.4328,15.26195
2024-08-27,80.8656,10.93394
2024-08-28,92.7107,9.3394
2024-08-29,85.19362,16.85649
2024-08-30,86.10478,10.93394
2024-08-31,62.87015,10.25056
2024-09-01,60.36446,11.61731
2024-09-02,97.26651,14.123
2024-09-03,96.81093,13.89521
2024-09-04,91.11617,13.43963
2024-09-05,90.66059,18.67881
2024-09-06,84.73804,13.43963
2024-09-07,62.64236,10.93394
2024-09-08,71.98177,7.74487
2024-09-09,93.16628,16.6287
2024-09-10,82.00455,15.26195
2024-09-11,92.02733,12.98405
2024-09-12,87.01594,16.6287
2024-09-13,69.47608,13.21184
2024-09-14,60.13667,10.70615
2024-09-15,55.35307,8.65603
2024-09-16,48.51936,8.65603
2024-09-17,51.02505,10.47835
2024-09-18,64.92027,13.66742
2024-09-19,80.8656,14.123
2024-09-20,84.96583,14.80637
2024-09-21,65.14806,10.93394
2024-09-22,73.8041,7.51708
2024-09-23,93.16628,12.52847
2024-09-24,100.0,10.70615
2024-09-25,93.16628,12.52847
2024-09-26,92.7107,12.52847
2024-09-27,84.05466,13.89521
2024-09-28,65.14806,9.79498
2024-09-29,68.10933,12.98405
2024-09-30,71.98177,9.11161
2024-10-01,62.87015,10.70615
2024-10-02,65.83143,7.97266
2024-10-03,63.78132,7.97266
2024-10-04,60.82004,10.93394
2024-10-05,50.79726,8.65603
2024-10-06,60.82004,8.42824
2024-10-07,76.082,12.07289
2024-10-08,85.19362,10.93394
2024-10-09,72.43735,10.70615
2024-10-10,86.56036,13.43963
2024-10-11,77.90432,9.3394
2024-10-12,56.49202,10.93394
2024-10-13,61.95899,9.3394
2024-10-14,86.56036,9.11161
2024-10-15,78.81548,11.8451
2024-10-16,87.01594,12.30068
2024-10-17,87.47152,11.8451
2024-10-18,72.89293,12.07289
2024-10-19,70.61503,10.02277
2024-10-20,62.64236,9.11161
2024-10-21,84.05466,11.61731
2024-10-22,72.66514,12.30068
2024-10-23,86.10478,11.8451
2024-10-24,87.01594,10.70615
2024-10-25,78.58769,12.30068
2024-10-26,57.63097,7.28929
2024-10-27,61.7312,9.3394
2024-10-28,89.97722,12.07289
2024-10-29,82.68792,12.30068
2024-10-30,90.4328,11.16173
2024-10-31,82.23234,9.79498
2024-11-01,73.12072,12.52847
2024-11-02,56.9476,8.88382
2024-11-03,61.04783,12.07289
2024-11-04,83.1435,13.43963
2024-11-05,77.44874,12.07289
2024-11-06,76.082,8.88382
2024-11-07,81.32118,14.57858
2024-11-08,66.28701,12.75626
2024-11-09,55.80865,9.56719
2024-11-10,58.54214,7.97266
2024-11-11,83.37129,10.70615
2024-11-12,81.09339,9.56719
2024-11-13,75.62642,12.52847
2024-11-14,73.34851,11.8451
2024-11-15,79.49886,12.75626
2024-11-16,53.53075,10.47835
2024-11-17,60.13667,9.79498
2024-11-18,68.10933,11.16173
2024-11-19,72.20956,12.30068
2024-11-20,67.19817,9.11161
2024-11-21,76.76537,12.75626
2024-11-22,65.83143,13.43963
2024-11-23,49.43052,10.25056
2024-11-24,57.63097,9.11161
2024-11-25,66.28701,11.8451
2024-11-26,77.22095,9.56719
2024-11-27,57.85876,11.8451
2024-11-28,68.10933,10.47835
2024-11-29,59.90888,12.07289
2024-11-30,49.65831,9.79498
2024-12-01,58.54214,10.02277
2024-12-02,75.62642,10.93394
2024-12-03,71.98177,12.75626
2024-12-04,70.61503,10.02277
2024-12-05,66.97038,11.38952
2024-12-06,56.49202,11.16173
2024-12-07,56.03644,10.70615
2024-12-08,56.9476,12.30068
2024-12-09,78.58769,13.43963
2024-12-10,64.92027,9.79498
2024-12-11,67.88154,10.70615
2024-12-12,71.52619,12.98405
2024-12-13,61.50341,12.98405
2024-12-14,50.34168,7.28929
2024-12-15,51.02505,9.3394
2024-12-16,71.07061,10.02277
2024-12-17,72.66514,10.02277
2024-12-18,64.92027,12.07289
2024-12-19,66.28701,11.16173
2024-12-20,60.36446,6.60592
2024-12-21,48.06378,12.07289
2024-12-22,52.164,10.93394
2024-12-23,64.46469,11.8451
2024-12-24,48.51936,7.74487
2024-12-25,42.59681,11.61731
2024-12-26,45.78587,10.70615
2024-12-27,51.25284,13.89521
2024-12-28,48.51936,9.79498
2024-12-29,41.68564,9.56719
2024-12-30,47.15261,11.8451
2024-12-31,41.00227,11.16173
2025-01-01,45.33029,8.65603
2025-01-02,51.25284,9.11161
2025-01-03,53.30296,5.69476
2025-01-04,48.51936,10.02277
2025-01-05,50.11389,9.79498
2025-01-06,48.51936,8.42824
