날짜,스트레스,수면
2024-07-14,75.61942,30.52527
2024-07-15,94.94549,40.33696
2024-07-16,98.51337,43.40931
2024-07-17,95.54013,38.85034
2024-07-18,92.26957,38.05748
2024-07-19,79.78196,29.43508
2024-07-20,67.9881,26.85827
2024-07-21,77.99801,30.42616
2024-07-22,92.07135,33.89494
2024-07-23,96.92765,35.97621
2024-07-24,84.73736,36.37264
2024-07-25,89.79187,32.50743
2024-07-26,82.06144,32.60654
2024-07-27,65.41129,24.67789
2024-07-28,68.38453,27.75024
2024-07-29,73.14172,28.54311
2024-07-30,77.40336,30.52527
2024-07-31,67.9881,29.93062
2024-08-01,73.93458,31.51635
2024-08-02,69.97026,28.54311
2024-08-03,59.66303,22.89395
2024-08-04,65.5104,24.08325
2024-08-05,73.73637,32.40832
2024-08-06,77.20515,31.11992
2024-08-07,73.33994,33.99405
2024-08-08,72.05153,33.59762
2024-08-09,75.71853,30.52527
2024-08-10,70.76313,24.57879
2024-08-11,66.50148,27.84935
2024-08-12,76.51139,33.10208
2024-08-13,78.69177,33.30029
2024-08-14,81.36769,33.79583
2024-08-15,72.15064,28.74132
2024-08-16,73.24083,31.31813
2024-08-17,65.70862,23.68681
2024-08-18,67.9881,27.55203
2024-08-19,83.05252,35.08424
2024-08-20,96.333,35.57978
2024-08-21,90.48562,34.09316
2024-08-22,94.44995,34.88602
2024-08-23,83.54806,34.88602
2024-08-24,72.15064,25.07433
2024-08-25,66.50148,31.31813
2024-08-26,92.17046,36.27353
2024-08-27,88.50346,38.65213
2024-08-28,87.7106,35.77799
2024-08-29,85.2329,34.09316
2024-08-30,87.61149,34.98513
2024-08-31,68.88007,26.85827
2024-09-01,72.05153,29.03865
2024-09-02,96.82854,35.8771
2024-09-03,99.10802,36.57086
2024-09-04,95.44103,33.3994
2024-09-05,92.26957,35.18334
2024-09-06,87.51238,30.52527
2024-09-07,65.90683,28.14667
2024-09-08,73.33994,33.49851
2024-09-09,89.59365,33.79583
2024-09-10,87.61149,34.09316
2024-09-11,91.77403,34.09316
2024-09-12,84.63825,33.30029
2024-09-13,73.83548,29.33597
2024-09-14,60.45589,24.57879
2024-09-15,58.96927,20.81268
2024-09-16,57.87908,23.68681
2024-09-17,58.77106,23.38949
2024-09-18,68.48364,28.24578
2024-09-19,82.16055,36.66997
2024-09-20,81.07036,29.23686
2024-09-21,67.19524,27.2547
2024-09-22,71.6551,33.00297
2024-09-23,85.43111,38.65213
2024-09-24,89.99008,35.48067
2024-09-25,88.00792,34.48959
2024-09-26,84.24182,33.00297
2024-09-27,81.36769,31.91278
2024-09-28,67.19524,24.38057
2024-09-29,69.97026,29.83151
2024-09-30,76.21407,30.9217
2024-10-01,65.60951,30.22794
2024-10-02,73.63726,28.84043
2024-10-03,65.01486,27.84935
2024-10-04,69.77205,31.61546
2024-10-05,61.24876,30.52527
2024-10-06,65.60951,27.55203
2024-10-07,82.55698,32.60654
2024-10-08,82.85431,37.66105
2024-10-09,74.43012,27.05649
2024-10-10,84.0436,32.70564
2024-10-11,79.68285,31.51635
2024-10-12,62.93359,26.16451
2024-10-13,65.70862,30.02973
2024-10-14,82.25966,36.27353
2024-10-15,82.06144,34.98513
2024-10-16,87.11595,33.00297
2024-10-17,83.54806,36.86818
2024-10-18,72.64618,31.91278
2024-10-19,66.60059,24.97522
2024-10-20,63.72646,26.46184
2024-10-21,83.34985,36.07532
2024-10-22,79.18731,36.07532
2024-10-23,85.72844,33.30029
2024-10-24,76.90782,34.09316
2024-10-25,81.36769,26.75916
