날짜,스트레스,당뇨
2024-07-14,23.39773,40.04906
2024-07-15,29.37749,53.78718
2024-07-16,30.48144,50.62864
2024-07-17,29.56148,59.42962
2024-07-18,28.54952,51.67126
2024-07-19,24.68567,47.53143
2024-07-20,21.03649,38.76111
2024-07-21,24.1337,36.92118
2024-07-22,28.48819,53.81784
2024-07-23,29.9908,49.12603
2024-07-24,26.21895,49.77
2024-07-25,27.78288,42.3183
2024-07-26,25.39098,42.77828
2024-07-27,20.23919,36.43054
2024-07-28,21.15915,32.78135
2024-07-29,22.63109,39.89573
2024-07-30,23.9497,42.62496
2024-07-31,21.03649,40.26372
2024-08-01,22.87641,39.09843
2024-08-02,21.6498,42.01165
2024-08-03,18.46059,32.07605
2024-08-04,20.26985,33.67065
2024-08-05,22.81508,42.59429
2024-08-06,23.88837,46.30481
2024-08-07,22.69242,48.85004
2024-08-08,22.29377,47.89941
2024-08-09,23.42839,45.87549
2024-08-10,21.89512,39.34375
2024-08-11,20.57651,37.4425
2024-08-12,23.67371,48.51272
2024-08-13,24.34835,51.6406
2024-08-14,25.17632,46.61146
2024-08-15,22.32444,36.12388
2024-08-16,22.66176,44.74087
2024-08-17,20.33118,37.16651
2024-08-18,21.03649,35.54124
2024-08-19,25.69763,49.43268
2024-08-20,29.8068,51.4566
2024-08-21,27.99754,51.36461
2024-08-22,29.22416,48.88071
2024-08-23,25.85096,47.68475
2024-08-24,22.32444,38.20913
2024-08-25,20.57651,35.26525
2024-08-26,28.51885,48.42072
2024-08-27,27.38423,51.5486
2024-08-28,27.13891,49.89267
2024-08-29,26.37227,47.77675
2024-08-30,27.10824,45.81416
2024-08-31,21.31248,40.93836
2024-09-01,22.29377,37.3505
2024-09-02,29.96013,50.68997
2024-09-03,30.66544,51.82459
2024-09-04,29.53081,50.84329
2024-09-05,28.54952,52.46856
2024-09-06,27.07758,46.39681
2024-09-07,20.39251,37.93314
2024-09-08,22.69242,36.30788
2024-09-09,27.72155,51.36461
2024-09-10,27.10824,54.30849
2024-09-11,28.39619,49.18736
2024-09-12,26.18828,50.16865
2024-09-13,22.84575,45.29285
2024-09-14,18.70591,37.47316
2024-09-15,18.24593,34.71327
2024-09-16,17.90861,36.95185
2024-09-17,18.1846,40.41704
2024-09-18,21.18981,37.68782
2024-09-19,25.42164,47.2861
2024-09-20,25.08432,46.18215
2024-09-21,20.79116,35.47991
2024-09-22,22.17111,34.59061
2024-09-23,26.4336,50.84329
2024-09-24,27.84421,51.21128
2024-09-25,27.23091,51.67126
2024-09-26,26.06562,52.92854
2024-09-27,25.17632,55.93376
2024-09-28,20.79116,44.43422
2024-09-29,21.6498,43.63692
2024-09-30,23.58172,55.01379
2024-10-01,20.30052,46.97945
2024-10-02,22.78442,53.41919
2024-10-03,20.11652,39.8344
2024-10-04,21.58846,48.29806
2024-10-05,18.95124,42.93161
2024-10-06,20.30052,41.33701
2024-10-07,25.54431,54.98313
2024-10-08,25.6363,50.50597
2024-10-09,23.02974,43.94357
2024-10-10,26.00429,48.66605
2024-10-11,24.65501,42.80895
2024-10-12,19.47255,35.57191
2024-10-13,20.33118,33.91597
2024-10-14,25.45231,49.31002
2024-10-15,25.39098,44.92486
2024-10-16,26.95492,46.76479
2024-10-17,25.85096,50.96596
2024-10-18,22.47776,46.15148
2024-10-19,20.60717,37.04385
2024-10-20,19.71787,33.54799
2024-10-21,25.78963,46.05949
2024-10-22,24.50168,49.0647
2024-10-23,26.5256,48.35939
