지역,매장,테마,별점,난이도,리뷰수
신촌,이스케이프시티 그랜드 시티 신촌점,컨티뉴얼,10,0,1
부산,셜록홈즈 부산아트몰링점,시간의 회랑,10,0,1
강남,키이스케이프 메모리컴퍼니,FILM BY BOB,9.62,4,406
강남,키이스케이프 메모리컴퍼니,FILM BY STEVE,9.59,6,777
건대,드림이스케이프,"바야흐로, 여름이었다",9.57,5,282
강남,키이스케이프 LOG_IN 1,머니머니패키지,9.53,6,625
인천,어메이즈드 부평 3호점,SHIFT : 고쿄의 하루,9.52,6,166
강남,키이스케이프 메모리컴퍼니,FILM BY EDDY,9.46,4,790
인천,둠 이스케이프 DTH점,슬래셔,9.43,7,394
홍대,티켓 투 이스케이프,갤럭시 익스프레스,9.41,6,186
홍대,제로월드 홍대점,ALIVE,9.35,5,423
강남,제로월드 강남점,제로,9.34,7,617
홍대,지구별 방탈출 홍대라스트시티점,섀도우,9.34,3,511
건대,황금열쇠 건대점 (유토피아호),fl[ae]sh,9.33,6,827
홍대,제로월드 홍대점,깜방탈출 : WAY OUT,9.32,7,439
강남,키이스케이프 LOG_IN 1,FOR FREE,9.32,4,229
강남,키이스케이프 LOG_IN 2,BACK TO THE SCENE+,9.32,4,543
강남,단편선,그림자 없는 상자,9.3,4,867
건대,드림이스케이프,ALLTHEBOX PARADISE,9.28,8,415
홍대,지구별 방탈출 홍대라스트시티점,?身(문신),9.27,5,405
부산,플레이포인트랩 해운대블루오션스테이션점,BANG,9.26,0,27
홍대,룸엘이스케이프 홍대 1호점,퇴근길,9.26,7,569
경기(기타),나비잠 2호점,Harpy’s Candy Shop,9.26,4,148
건대,황금열쇠 건대점 (유토피아호),NOW HERE,9.25,5,672
홍대,비트포비아 홍대 던전3,And I met E,9.25,4,743
홍대,지구별 방탈출 홍대라스트시티점,멸종위기종 탐사대,9.23,8,508
강남,키이스케이프 강남 우주라이크점,WANNA GO HOME,9.23,6,843
광주,판타지아,찬미특수진료센터 : The 1st Case,9.23,6,234
부산,비트포비아 서면 던전,오늘 나는,9.23,5,104
강남,플레이더월드 강남점,이웃집 또도와,9.22,7,557
강남,단편선,사람들은 그것을 행복이라 부르기로 했다,9.22,6,805
강남,키이스케이프 강남 더오름점,네드,9.22,6,951
건대,포인트나인 건대점,JACK IN THE SHOW,9.22,1,180
강남,키이스케이프 강남 우주라이크점,US,9.2,6,896
홍대,코드케이 홍대점,꼬레아 우라,9.18,7,1036
홍대,포인트나인 홍대점,SILENT,9.15,7,697
신촌,파노라마 신촌점,PANDORA,9.15,5,351
홍대,퀘스천마크,퀘스천마크,9.14,6,963
광주,판타지아,Inspecto : The 2nd Case,9.12,6,91
광주,숨바꼭질 3호점,종결사건,9.1,6,345
포항,룸즈에이 포항점,낭랑카페,9.09,0,11
