날짜,스트레스,암
2024-07-14,75.61942,61.14965
2024-07-15,94.94549,82.85431
2024-07-16,98.51337,83.34985
2024-07-17,95.54013,77.00693
2024-07-18,92.26957,71.55599
2024-07-19,79.78196,64.02378
2024-07-20,67.9881,51.83349
2024-07-21,77.99801,54.21209
2024-07-22,92.07135,67.88899
2024-07-23,96.92765,63.52824
2024-07-24,84.73736,60.95143
2024-07-25,89.79187,55.5996
2024-07-26,82.06144,55.69871
2024-07-27,65.41129,51.33795
2024-07-28,68.38453,50.14866
2024-07-29,73.14172,55.89692
2024-07-30,77.40336,58.77106
2024-07-31,67.9881,54.50941
2024-08-01,73.93458,52.22993
2024-08-02,69.97026,53.02279
2024-08-03,59.66303,46.67988
2024-08-04,65.5104,50.44598
2024-08-05,73.73637,55.69871
2024-08-06,77.20515,53.02279
2024-08-07,73.33994,62.33894
2024-08-08,72.05153,58.17641
2024-08-09,75.71853,54.80673
2024-08-10,70.76313,50.94152
2024-08-11,66.50148,49.35579
2024-08-12,76.51139,58.77106
2024-08-13,78.69177,61.44697
2024-08-14,81.36769,60.75322
2024-08-15,72.15064,49.95044
2024-08-16,73.24083,53.91476
2024-08-17,65.70862,55.5996
2024-08-18,67.9881,52.82457
2024-08-19,83.05252,59.96035
2024-08-20,96.333,85.53022
2024-08-21,90.48562,68.18632
2024-08-22,94.44995,80.87215
2024-08-23,83.54806,75.81764
2024-08-24,72.15064,62.14073
2024-08-25,66.50148,68.28543
2024-08-26,92.17046,64.32111
2024-08-27,88.50346,67.9881
2024-08-28,87.7106,66.79881
2024-08-29,85.2329,66.6997
2024-08-30,87.61149,67.9881
2024-08-31,68.88007,56.888
2024-09-01,72.05153,58.57284
2024-09-02,96.82854,66.10505
2024-09-03,99.10802,65.31219
2024-09-04,95.44103,57.87908
2024-09-05,92.26957,64.42021
2024-09-06,87.51238,59.66303
2024-09-07,65.90683,55.50049
2024-09-08,73.33994,57.48265
2024-09-09,89.59365,70.26759
2024-09-10,87.61149,63.72646
2024-09-11,91.77403,62.33894
2024-09-12,84.63825,62.53716
2024-09-13,73.83548,52.72547
2024-09-14,60.45589,80.87215
2024-09-15,58.96927,91.67492
2024-09-16,57.87908,68.48364
2024-09-17,58.77106,59.2666
2024-09-18,68.48364,66.60059
2024-09-19,82.16055,70.4658
2024-09-20,81.07036,66.6997
2024-09-21,67.19524,51.83349
2024-09-22,71.6551,55.40138
2024-09-23,85.43111,66.20416
2024-09-24,89.99008,59.76214
2024-09-25,88.00792,60.15857
2024-09-26,84.24182,63.72646
2024-09-27,81.36769,57.77998
2024-09-28,67.19524,49.65312
2024-09-29,69.97026,49.35579
2024-09-30,76.21407,59.96035
2024-10-01,65.60951,55.50049
2024-10-02,73.63726,49.4549
2024-10-03,65.01486,50.34687
2024-10-04,69.77205,58.17641
2024-10-05,61.24876,46.28344
2024-10-06,65.60951,51.63528
2024-10-07,82.55698,60.35678
2024-10-08,82.85431,61.14965
2024-10-09,74.43012,50.14866
2024-10-10,84.0436,60.555
2024-10-11,79.68285,55.79781
2024-10-12,62.93359,48.86025
2024-10-13,65.70862,49.95044
2024-10-14,82.25966,59.86124
2024-10-15,82.06144,60.35678
2024-10-16,87.11595,66.00594
2024-10-17,83.54806,64.02378
2024-10-18,72.64618,55.79781
2024-10-19,66.60059,49.55401
2024-10-20,63.72646,54.60852
2024-10-21,83.34985,57.08622
2024-10-22,79.18731,59.16749
2024-10-23,85.72844,59.96035
2024-10-24,76.90782,55.10406
2024-10-25,81.36769,63.52824
2024-10-26,64.81665,51.53617
2024-10-27,62.83448,53.1219
2024-10-28,87.61149,63.0327
2024-10-29,84.24182,62.73538
2024-10-30,84.0436,68.48364
2024-10-31,78.49355,64.42021
2024-11-01,72.54707,56.49157
2024-11-02,58.96927,51.43706
2024-11-03,62.14073,56.29335
2024-11-04,78.79088,55.69871
2024-11-05,75.61942,60.25768
2024-11-06,76.01585,64.42021
2024-11-07,78.09712,59.86124
2024-11-08,67.39345,60.65411
2024-11-09,62.04162,52.32903
2024-11-10,65.60951,56.09514
2024-11-11,79.88107,65.11397
2024-11-12,80.17839,64.42021
2024-11-13,80.2775,57.68087
2024-11-14,72.24975,55.30227
2024-11-15,79.28642,61.05054
2024-11-16,62.33894,49.15758
2024-11-17,64.51932,51.43706
2024-11-18,76.51139,59.96035
2024-11-19,75.71853,60.95143
2024-11-20,76.11496,63.72646
2024-11-21,83.94449,63.82556
2024-11-22,68.38453,57.58176
2024-11-23,58.0773,53.1219
2024-11-24,63.82556,45.7879
2024-11-25,69.47472,55.50049
2024-11-26,79.38553,55.5996
2024-11-27,68.97918,53.02279
2024-11-28,75.81764,54.80673
2024-11-29,64.02378,55.5996
2024-11-30,54.70763,46.9772
2024-12-01,63.82556,43.01288
2024-12-02,72.15064,52.62636
2024-12-03,75.12388,54.31119
2024-12-04,72.8444,55.79781
2024-12-05,70.26759,53.71655
2024-12-06,66.6997,48.2656
2024-12-07,56.888,41.03072
2024-12-08,60.05946,47.86917
2024-12-09,80.87215,53.1219
2024-12-10,68.68186,51.23885
2024-12-11,72.64618,52.42814
2024-12-12,72.15064,53.22101
2024-12-13,68.38453,52.82457
2024-12-14,60.85232,43.60753
2024-12-15,60.85232,43.50842
2024-12-16,70.16848,51.33795
2024-12-17,78.59266,49.4549
2024-12-18,70.56491,53.61744
2024-12-19,73.73637,56.78889
2024-12-20,70.4658,51.73439
2024-12-21,58.47373,46.08523
2024-12-22,58.96927,44.69772
2024-12-23,68.88007,49.15758
2024-12-24,60.25768,50.34687
2024-12-25,52.32903,44.4995
2024-12-26,56.68979,56.888
2024-12-27,62.23984,52.13082
2024-12-28,58.0773,42.0218
2024-12-29,54.70763,46.08523
2024-12-30,59.46481,43.60753
2024-12-31,58.47373,43.70664
2025-01-01,61.24876,41.92269
2025-01-02,61.94251,44.99504
2025-01-03,64.12289,44.40039
2025-01-04,56.78889,38.85034
2025-01-05,60.95143,37.26461
2025-01-06,61.24876,46.87809
2025-01-07,62.93359,50.6442
2025-01-08,70.76313,44.20218
2025-01-09,63.33002,44.20218
2025-01-10,59.2666,41.22893
2025-01-11,52.22993,44.20218
2025-01-12,60.95143,38.85034
2025-01-13,64.51932,47.67096
2025-01-14,73.93458,53.61744
2025-01-15,67.88899,56.19425
2025-01-16,71.55599,63.0327
2025-01-17,67.39345,52.62636
2025-01-18,58.87016,47.86917
2025-01-19,58.87016,48.1665
2025-01-20,74.03369,51.73439
2025-01-21,65.70862,53.1219
2025-01-22,71.75421,54.80673
2025-01-23,70.86223,49.55401
2025-01-24,67.88899,47.96828
2025-01-25,55.89692,41.82358
2025-01-26,64.71754,42.91377
2025-01-27,64.12289,42.22001
2025-01-28,52.82457,41.12983
2025-01-29,50.04955,42.12091
2025-01-30,55.50049,35.97621
2025-01-31,57.97819,44.4995
2025-02-01,55.00495,40.43607
2025-02-02,63.23092,42.71555
2025-02-03,62.63627,52.22993
2025-02-04,66.89791,50.84241
2025-02-05,66.89791,51.63528
2025-02-06,69.77205,50.04955
2025-02-07,62.93359,45.58969
2025-02-08,58.37462,44.89593
2025-02-09,60.25768,40.13875
2025-02-10,68.18632,50.6442
2025-02-11,67.39345,53.71655
2025-02-12,76.41228,42.51734
2025-02-13,77.20515,50.84241
2025-02-14,78.79088,49.25668
2025-02-15,65.41129,42.91377
2025-02-16,70.96134,40.43607
2025-02-17,75.91674,52.32903
2025-02-18,74.23191,50.44598
2025-02-19,78.49355,58.47373
2025-02-20,81.86323,55.69871
2025-02-21,73.73637,48.76114
2025-02-22,66.40237,46.58077
2025-02-23,66.10505,46.58077
2025-02-24,76.51139,47.67096
2025-02-25,79.0882,47.77006
2025-02-26,82.16055,50.94152
2025-02-27,79.38553,47.86917
2025-02-28,68.97918,41.92269
2025-03-01,61.8434,45.19326
2025-03-02,62.53716,41.12983
2025-03-03,68.48364,42.91377
2025-03-04,78.19623,41.22893
2025-03-05,74.82656,40.63429
2025-03-06,78.79088,51.04063
2025-03-07,75.71853,46.28344
2025-03-08,65.60951,40.8325
2025-03-09,69.87115,44.30128
2025-03-10,75.52031,49.65312
2025-03-11,73.24083,55.79781
2025-03-12,83.84539,52.03171
2025-03-13,83.84539,58.96927
2025-03-14,77.00693,44.79682
2025-03-15,67.29435,41.92269
2025-03-16,72.44796,40.8325
2025-03-17,83.25074,46.87809
2025-03-18,84.63825,46.77898
2025-03-19,82.95341,51.73439
2025-03-20,83.94449,48.56293
2025-03-21,80.87215,52.52725
2025-03-22,67.9881,39.34588
2025-03-23,65.90683,40.03964
2025-03-24,79.18731,50.74331
2025-03-25,84.44003,50.84241
2025-03-26,81.46679,41.42715
2025-03-27,81.16947,50.14866
2025-03-28,75.71853,48.46382
2025-03-29,64.12289,41.12983
2025-03-30,68.88007,40.23785
2025-03-31,78.49355,50.84241
2025-04-01,74.33102,47.67096
2025-04-02,71.85332,50.6442
2025-04-03,79.28642,53.41922
2025-04-04,66.20416,43.3102
2025-04-05,62.04162,43.60753
2025-04-06,64.12289,41.52626
2025-04-07,77.50247,51.33795
2025-04-08,77.70069,47.77006
2025-04-09,82.25966,48.46382
2025-04-10,75.71853,46.87809
2025-04-11,73.73637,48.66204
2025-04-12,64.81665,44.4995
2025-04-13,64.42021,38.15659
2025-04-14,69.07829,48.86025
2025-04-15,76.80872,47.37363
2025-04-16,80.17839,50.84241
2025-04-17,76.41228,51.83349
2025-04-18,69.97026,40.73339
2025-04-19,63.72646,41.82358
2025-04-20,58.67195,42.22001
2025-04-21,75.12388,47.07631
2025-04-22,76.01585,44.4995
2025-04-23,74.1328,44.59861
2025-04-24,77.60158,43.01288
2025-04-25,66.50148,44.30128
2025-04-26,65.01486,38.85034
2025-04-27,64.51932,39.24677
2025-04-28,73.33994,38.25569
2025-04-29,77.10604,42.91377
2025-04-30,70.56491,35.97621
2025-05-01,68.97918,36.37264
2025-05-02,66.6997,36.57086
2025-05-03,55.99603,36.66997
2025-05-04,55.50049,35.77799
2025-05-05,58.37462,33.49851
2025-05-06,58.17641,40.8325
2025-05-07,76.41228,49.15758
2025-05-08,68.28543,50.54509
2025-05-09,73.63726,48.46382
2025-05-10,68.48364,42.31912
2025-05-11,62.53716,37.76015
2025-05-12,82.25966,49.65312
2025-05-13,75.3221,45.88701
2025-05-14,83.94449,46.9772
2025-05-15,74.62834,49.05847
2025-05-16,70.4658,46.28344
2025-05-17,64.32111,42.51734
2025-05-18,62.53716,41.32804
2025-05-19,79.28642,54.01387
2025-05-20,100,52.62636
2025-05-21,94.35084,47.86917
2025-05-22,82.7552,50.24777
2025-05-23,72.05153,43.80574
2025-05-24,65.21308,38.25569
2025-05-25,66.00594,37.95837
2025-05-26,79.38553,45.39147
2025-05-27,77.10604,51.43706
2025-05-28,78.09712,47.07631
2025-05-29,81.26858,47.77006
2025-05-30,77.20515,41.03072
2025-05-31,62.14073,39.34588
2025-06-01,65.80773,39.84142
2025-06-02,77.10604,41.32804
2025-06-03,63.92467,35.28245
2025-06-04,68.58275,37.66105
2025-06-05,71.15956,39.64321
2025-06-06,58.87016,38.85034
2025-06-07,63.82556,41.92269
2025-06-08,68.28543,45.39147
2025-06-09,78.88999,45.49058
2025-06-10,79.48463,45.09415
2025-06-11,77.40336,46.58077
2025-06-12,81.96233,52.13082
2025-06-13,76.70961,44.99504
2025-06-14,64.42021,37.36372
2025-06-15,61.24876,44.40039
2025-06-16,73.63726,46.58077
2025-06-17,71.95242,44.99504
2025-06-18,83.74628,44.00396
2025-06-19,76.51139,44.20218
2025-06-20,72.64618,44.00396
2025-06-21,63.23092,35.18334
2025-06-22,66.89791,41.12983
2025-06-23,72.24975,44.4995
2025-06-24,78.49355,44.79682
2025-06-25,71.45688,38.55302
2025-06-26,73.83548,43.11199
2025-06-27,65.01486,39.74231
2025-06-28,49.95044,40.53518
2025-06-29,52.82457,37.46283
2025-06-30,57.68087,38.55302
2025-07-01,69.97026,40.63429
2025-07-02,67.09613,42.0218
2025-07-03,62.23984,43.60753
2025-07-04,66.30327,41.92269
2025-07-05,52.22993,33.49851
2025-07-06,51.83349,36.47175
2025-07-07,69.27651,43.40931
2025-07-08,60.95143,53.61744
2025-07-09,68.18632,43.80574
2025-07-10,65.5104,46.18434
2025-07-11,61.94251,47.27452
2025-07-12,51.73439,33.49851
2025-07-13,53.1219,37.46283
2025-07-14,66.99702,60.25768
