name,price,change,high,low,volume,market_cap
Abivax S.A.,66.57,799.59,68.12,65.67,1720000.0,4219999999.9999995
Bitmine Immersion Technologies Inc,35.11,723.21,41.49,34.39,48780000.0,3940000000.0
Trident Digital Tech Holdings Ltd,1.45,574.42,1.48,1.26,2020000.0,111530000.0
CEA Industries,57.59,4.0,82.88,46.1,14360000.0,48450000.0
Incannex Healthcare Ltd,1.19,485.34,1.25,1.1,79660000.0,35030000.0
Lixte Biotechnology Hldgs Inc,4.07,469.55,4.27,4.0,83310.0,21770000.0
Zepp Health Corporation,13.73,438.43,13.79,11.16,476870.0,197280000.0
Connexa Sports Technologies Inc,4.3,378.42,4.38,3.15,8.0,62620000.0
Mega Matrix Corp,3.78,372.5,3.9,2.7,4780000.0,154260000.0
ProKidney,3.08,360.6,3.3,2.95,3180000.0,901530000.0
Aeye Inc,4.05,352.31,6.44,3.8,157170000.0,11.0
Opendoor Technologies Inc,2.34,319.05,2.75,2.28,224420000.0,1710000000.0
Wolfspeed Inc,1.68,306.68,1.71,1.62,12080000.0,261450000.0
Zooz Power Ltd,3.51,289.41,3.65,3.1,917620.0,42490000.0
Sonnet Biotherapeutc Hldng Inc,4.05,261.61,4.38,3.975,575990.0,25370000.0
CEL-SCI Corp,8.61,258.75,10.4,8.22,1460000.0,58730000.0
180 Life Sciences Corp,2.91,250.6,4.15,2.65,5090000.0,17570000.0
Dallasnews Corporation,14.81,244.4,14.92,14.8,89750.0,79270000.0
Elong Power Holding Limited,3.25,241.78,3.28,2.57,491210.0,162680000.0
Mill City Ventur,5.94,224.59,8.01,5.53,27670000.0,36010000.0
Newegg Commerce Inc,39.08,223.51,43.27,33.6,1160000.0,761620000.0
Currenc Group Inc,2.16,222.39,2.44,2.12,643990.0,164340000.0
Aureus Greenway Holdings Inc.,1.88,219.46,2.29,1.78,972280.0,26090000.0
SMART DIGITAL GROUP LTD,25.23,214.59,29.4,17.61,917780.0,668600000.0
Cyclacel Pharma,15.39,209.97,16.28,14.69,195590.0,24380000.0
Neumora Therapeutics Inc,2.28,201.23,2.399,2.115,2560000.0,368790000.0
Bit Origin Limited,0.4723,197.79,0.5792,0.46,11010000.0,27860000.0
Stem Inc,18.91,194.09,19.48,15.69,2350000.0,158840000.0
Celcuity Inc,36.79,193.38,46.42,35.0,27640000.0,1390000000.0
MoneyHero Limited,2.04,191.85,2.13,1.99,145330.0,88140000.0
"Mink Therapeutics, Inc.",18.71,168.05,19.61,18.38,333160.0,74570000.0
CALCIMEDICA INC,3.71,159.44,3.96,3.67,48050.0,51840000.0
Scilex Holding Co,15.52,156.53,16.47,12.17,840410.0,107950000.0
Healthcare Triangle Inc,0.0579,150.65,0.082,0.046,1150000000.0,23650000.0
Calidi Biotherapeutics Inc,0.5496,145.69,0.6499,0.5026,4620000.0,19960000.0
"Viomi Technology Co., Ltd.",3.2,142.42,3.3,3.032,490480.0,218260000.0
Raytech Holding Limited,2.54,141.9,2.612,2.21,3720000.0,110740000.0
Cambium Networks,0.9201,141.5,0.99,0.913,254800.0,25990000.0
Safety Shot,0.7232,140.59,0.8188,0.6913,3840000.0,104170000.0
Btcs Inc,5.16,140.0,5.85,5.06,7160000.0,120330000.0
COGNITION THERAPEUTICS INC,0.7151,138.37,0.8499,0.6188,6880000.0,44330000.0
Stardust Power Inc,0.4606,132.63,0.5269,0.46,3320000.0,38900000.0
Nvni Group Limited,0.6881,132.0,0.7,0.5343,159870000.0,23780000.0
DRAGONFLY ENERGY HOLDINGS CORP,0.3701,130.74,0.41,0.36,7180000.0,13500000.0
Vor Biopharma Inc.,2.42,128.3,2.56,2.235,9620000.0,302400000.0
Planet Green,2.05,127.74,2.08,1.8,226190.0,14930000.0
Upexi Inc,5.88,126.15,6.5,5.7,8470000.0,316300000.0
Future Fintech G,2.55,125.66,2.59,2.55,40240.0,12760000.0
Burning Rock Biotech Ltd,6.9,125.49,7.45,6.9,25330.0,74290000.0
Sharplink Gaming Ltd,20.93,123.56,23.1,19.78,53060000.0,2089999999.9999998
